lon,lat,ws_mean
114.75,22.5,3.0502
114.875,22.5,3.9949
115.625,22.5,5.6941
115.75,22.5,4.5768
115.875,22.5,4.2982
116.0,22.5,5.3515
116.125,22.5,6.1655
116.25,22.5,6.6922
116.375,22.5,5.8964
116.5,22.5,6.1775
116.625,22.5,6.0549
116.75,22.5,5.8564
116.875,22.5,5.739
117.0,22.5,5.8823
117.125,22.5,5.9782
117.25,22.5,5.8706
117.375,22.5,5.8329
117.5,22.5,5.8282
117.625,22.5,5.7459
117.75,22.5,5.3194
117.875,22.5,5.2886
118.0,22.5,5.3219
118.125,22.5,5.3626
118.25,22.5,5.3653
118.375,22.5,5.5039
118.5,22.5,5.6561
118.625,22.5,5.3835
118.75,22.5,5.2305
118.875,22.5,5.1073
119.0,22.5,4.9602
119.125,22.5,4.4012
119.25,22.5,3.9342
119.375,22.5,3.671
119.5,22.5,3.292
119.625,22.5,2.9123
119.75,22.5,3.314
119.875,22.5,4.1509
120.0,22.5,6.9635
121.125,22.5,4.8736
121.25,22.5,3.7407
121.375,22.5,3.6329
121.5,22.5,3.7224
121.625,22.5,3.4904
121.75,22.5,3.4421
115.625,22.625,4.7967
115.75,22.625,4.5231
115.875,22.625,3.6279
116.0,22.625,5.043
116.125,22.625,5.9899
116.25,22.625,6.3943
116.375,22.625,5.4366
116.5,22.625,5.49
116.625,22.625,5.2441
116.75,22.625,5.3721
116.875,22.625,5.4275
117.0,22.625,5.4376
117.125,22.625,5.3518
117.25,22.625,5.3268
117.375,22.625,5.4461
117.5,22.625,5.3631
117.625,22.625,4.9686
117.75,22.625,4.7342
117.875,22.625,4.8533
118.0,22.625,5.028
118.125,22.625,5.0996
118.25,22.625,5.1803
118.375,22.625,5.1291
118.5,22.625,5.0855
118.625,22.625,4.8274
118.75,22.625,4.7409
118.875,22.625,4.5028
119.0,22.625,4.0663
119.125,22.625,3.7757
119.25,22.625,3.455
119.375,22.625,2.8831
119.5,22.625,2.5005
119.625,22.625,2.3401
119.75,22.625,2.3411
